Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шухевич,Адам,Андрійович,Чоловіча,1992-12-26,Модельєр,місто Глиняни,"узвіз Восьмого березня 4-й, буд. 73, Шахтарське, 17025",435 55 41,dankivorysia@example.com
Деркач,Дмитро,Володимирович,Чоловіча,1966-03-01,Бібліотекар,селище Любомль,"шосе Пересипська 8-ма, буд. 151, Саки, 31332",+380 71 343-48-27,slysenko@example.org
Балабан,Данило,Володимирович,Чоловіча,1940-02-13,Композитор,хутір Бердянськ,"вулиця Суднобудівний, буд. 83 кв. 124, Ромни, 85468",+380 83 588-38-01,nadiiaumanets@example.org
Зінкевич,Віталій,Дмитрович,Чоловіча,1945-03-07,Режисер,хутір Підгородне,"площа Миколи Бурачека, буд. 3 кв. 2, Золоте, 98172",037 157 67 47,hermanzabashta@example.org
Дзиндра,Теодор,Сергійович,Чоловіча,1962-08-06,Педагог,селище Острог,"провулок Гобеленова, буд. 0, Радехів, 35794",960 27 32,iefrem10@example.net
Деряжний,Охрім,Андрійович,Чоловіча,2001-01-18,Математик,селище Гірник,"шосе Остапа Вишні, буд. 791, Острог, 02285",014 470 16 45,iushchenkookseniia@example.com
Ґалаґан,Єфрем,Володимирович,Чоловіча,1950-09-12,Стиліст,село Перечин,"сквер Лінія 36-та, буд. 4, Кагарлик, 99872",+380 16 135-52-49,bazylevskavira@example.org
Москаль,Орхип,Сергійович,Чоловіча,2000-10-24,Петрограф,селище Рені,"узвіз Пересипська 1-ша, буд. 57, Нетішин, 59639",+380 52 590-17-07,zynoviiartiukh@example.com
Вовк,Вʼячеслав,Олександрович,Чоловіча,1945-04-22,Промисловець,село Міусинськ,"проспект Лузанівський 2-й, буд. 510, Погребище, 24766",+380 (35) 235-07-06,xlukash@example.net
Алексійчук,Назар,Андрійович,Чоловіча,2000-07-24,Патологоанатом,хутір Куп'янськ,"проспект Сергія Параджанова, буд. 5 кв. 550, Боярка, 50090",+380 56 618-57-74,kolisnychenkovadym@example.net
Атаманчук,Богодар,Сергійович,Чоловіча,1940-09-09,Секретар,хутір Судова Вишня,"провулок Театральний, буд. 039, Перечин, 41753",+380 88 381 52 22,odakhno@example.org
Лубенець,Орхип,Петрович,Чоловіча,2001-12-14,Геолог,місто Красногорівка,"вулиця Пiвденний, буд. 4 кв. 70, Добропілля, 41897",+380 (91) 148-81-93,omelian74@example.org
Іваненко,Степан,Дмитрович,Чоловіча,1982-09-28,Перекладач,село Буча,"площа Тепла, буд. 9, Андрушівка, 46133",038 160-86-81,vasylechkooleksandr@example.com
Гайденко,Гаврило,Іванович,Чоловіча,2003-09-09,Краєзнавець,селище Лутугине,"проспект М’ясоєдовська, буд. 0 кв. 354, Белз, 65771",046 506-98-71,tetianakhudobiak@example.org
Чаленко,Олег,Михайлович,Чоловіча,1960-08-13,Візажист,село Лебедин,"узвіз Житомирський 4-й, буд. 95 кв. 91, Привілля, 07487",367-96-93,zynoviibashtan@example.com
Сірченко,Назар,Володимирович,Чоловіча,1975-12-14,Електротехнік,селище Голубівка,"проспект Василя Кандинського 5-й, буд. 38, Вознесенськ, 28059",+380 85 943-75-03,zlatoslava21@example.com
Жученко,Омелян,Петрович,Чоловіча,1996-11-09,Краєзнавець,хутір Світлодарськ,"шосе Лиманна, буд. 19 кв. 4, Сіверськ, 34105",055 728 84 82,kamilla37@example.com
Семенченко,Онисим,Іванович,Чоловіча,2007-02-09,Фотограф,село Володимир-Волинський,"площа Гілельса, буд. 9, Берегове, 17909",+380 88 186 13 94,iemetshavrylo@example.net
Затула,Гаврило,Петрович,Чоловіча,1948-04-16,Астронавт,місто Березівка,"набережна Студентський 4-й, буд. 1, Нетішин, 90641",166-11-54,snizhanakhudobiak@example.com
Свистун,Юхим,Юрійович,Чоловіча,1951-08-29,Психолог,селище Вознесенськ,"площа Професора Каришковського, буд. 7, Сквира, 31372",085 699 09 17,albina48@example.com
Ляшко,Франц,Юрійович,Чоловіча,1942-04-04,Економіст,хутір Вовчанськ,"набережна Творча, буд. 834 кв. 9, Кам'янка-Дніпровська, 88644",037 076 07 44,oliinykiosyp@example.org
Черінько,Омелян,Олександрович,Чоловіча,1954-04-28,Хореограф,селище Українка,"парк Травневий 1-й, буд. 99 кв. 1, Люботин, 71327",614 99 62,gkozak@example.net
Баранник,Василь,Юрійович,Чоловіча,1947-08-12,Швачка,хутір Мар'їнка,"вулиця 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 1 кв. 37, Бучач, 42589",027 842-38-59,batihhalyna@example.com
Рудько,Єфрем,Дмитрович,Чоловіча,2004-12-03,Редактор,селище Жидачів,"парк Онілової, буд. 89, Ясинувата, 20013",+380 (20) 536-77-50,iaremasirchenko@example.net
Вахній,Юхим,Петрович,Чоловіча,1989-09-18,Електротехнік,місто Залізне,"провулок Проектна 2-га, буд. 823, Білозерське, 43668",+380 73 059 24 01,msomko@example.com
Мамчур,Адам,Олександрович,Чоловіча,2001-10-07,Кіноактор,село Новоазовськ,"сквер Слов'янська, буд. 5, Василівка, 17058",+380 (53) 123-53-45,korzhiaroslava@example.net
Сомко,Прохір,Петрович,Чоловіча,1941-07-05,Швачка,місто Роздільна,"проспект Миколи Плигуна, буд. 936, Карлівка, 31864",567-75-92,danchenkoiryna@example.com
Романець,Азар,Олександрович,Чоловіча,1969-08-29,Футболіст,село Молочанськ,"набережна Яна Длугоша, буд. 2, Зіньків, 19547",045 653 97 09,ilienkoivan@example.com
Чаленко,Леонтій,Володимирович,Чоловіча,1966-01-01,Перекладач,хутір Новогродівка,"вулиця Успенська, буд. 55, Іловайськ, 04965",+380 29 875-92-92,mariana76@example.org
Баклан,Ігнат,Юрійович,Чоловіча,1944-03-17,Детектив,місто Козятин,"шосе Лінія 53-тя, буд. 760 кв. 57, Прип'ять, 94105",+380 55 735 26 00,mykhailyna50@example.com
Конопленко,Євген,Олександрович,Чоловіча,1949-11-09,Співак,село Очаків,"проспект Вчительської, 2-й, буд. 50, Ананьїв, 78324",384 63 43,bderevianko@example.com
Зінчук,Юстим,Сергійович,Чоловіча,2000-11-27,Мовознавець,село Белз,"площа Митракова, буд. 0, Севастополь, 90007",+380 (47) 557-37-18,zhabelko@example.net
Демʼяненко,Ігнат,Богданович,Чоловіча,1951-06-10,Архітектор,село Вінниця,"вулиця Ярмарковий, буд. 5 кв. 824, Чорноморськ, 47569",+380 66 205-67-95,snizhanamakohon@example.org
Пʼятаченко,Орхип,Олександрович,Чоловіча,2007-08-19,Піаніст,місто Федорівка,"вулиця Виноградна 2-га, буд. 724 кв. 66, Новоселиця, 07951",+380 06 961-66-95,saliipylyp@example.com
Бабенко,Леон,Богданович,Чоловіча,1958-03-08,Стоматолог,селище Ананьїв,"шосе Йозефа Прибіка, буд. 02, Теребовля, 50303",+380 02 307 41 53,cdanchenko@example.com
Гуцуляк,Роман,Сергійович,Чоловіча,1974-12-08,Юрист,хутір Соснівка,"площа Український 1-й, буд. 96, Підгайці, 75641",019 969-53-31,artem01@example.org
Гайдамака,Алевтин,Юрійович,Чоловіча,1963-03-14,Піаніст,хутір Малин,"шосе Сергія Ейзенштейна, буд. 28, Щолкіне, 33109",090 777 99 96,ihor27@example.com
Корпанюк,Прохір,Володимирович,Чоловіча,1989-02-24,Музичний редактор,селище Алупка,"провулок Балтський 5-й, буд. 12, Гайсин, 43568",061 740-21-33,oleksa74@example.org
Хомик,Євген,Дмитрович,Чоловіча,1949-05-23,Продюсер,хутір Березне,"шосе Рівності 1-й, буд. 25 кв. 085, Генічеськ, 91557",+380 (75) 577-70-12,ptalan@example.net
Усик,Олександр,Богданович,Чоловіча,1985-02-10,Бізнесмен,село Очаків,"сквер Маршрутна, буд. 024 кв. 9, Приморськ, 62681",+380 (98) 696-14-98,bohuslavtryhub@example.net
Литвиненко,Борислав,Михайлович,Чоловіча,1941-04-16,Шериф,хутір Хрустальний,"узвіз Добровольців, буд. 93 кв. 29, Сіверськ, 69636",+380 (31) 658-82-75,pskyrda@example.com
Дзиндра,Зорян,Андрійович,Чоловіча,2006-12-14,Підприємець,хутір Хоростків,"набережна Локомотивний 2-й, буд. 752, Святогірськ, 32893",094 683 15 85,levkovermenych@example.net
Джунь,Данило,Дмитрович,Чоловіча,1979-07-02,Продюсер,селище Жашків,"сквер Східчастий 4-й, буд. 1, Шептицький, 42549",+380 98 978 92 02,volodymyr08@example.net
Вахній,Святослав,Богданович,Чоловіча,2000-08-23,Музикознавець,село Володимир-Волинський,"узвіз Просвіти, буд. 71, Лутугине, 95023",210-31-02,lteslia@example.org
Товстоліс,Єлисей,Петрович,Чоловіча,1998-07-11,Дизайнер,селище Ладижин,"провулок Проценка, буд. 8, Горішні Плавні, 88903",+380 67 018-14-40,haievskyidaryna@example.net
Савенко,Орест,Дмитрович,Чоловіча,1998-09-03,Адвокат,місто Нікополь,"вулиця Кар’єрна, буд. 911, Чорнобиль, 60911",+380 54 057-52-43,larysaveres@example.com
Конопля,Олег,Олександрович,Чоловіча,1990-10-06,Бібліограф,село Переяслав,"шосе Яблунева, буд. 26, Тульчин, 85737",+380 03 859 54 04,malyshkoalevtyn@example.org
Щербань,Марко,Олександрович,Чоловіча,1957-11-17,Нотаріус,місто Баранівка,"парк Заводська 3-тя, буд. 4, Барвінкове, 06570",+380 64 290-67-42,oleksandrdrobiazko@example.org
Ляшко,Олесь,Володимирович,Чоловіча,1946-06-19,Продюсер,селище Прилуки,"площа Ігоря Кисельова, буд. 7, Козятин, 25065",+380 01 418-68-40,spasshukhevych@example.org
Іващенко,Юхим,Андрійович,Чоловіча,1941-12-01,Біолог,місто Ладижин,"шосе Навігаційний, буд. 961, Кременчук, 04406",980 59 26,lesvenhrynovych@example.com
Масляк,Августин,Богданович,Чоловіча,1985-02-09,Шериф,селище Попасна,"узвіз Академіка Ясиновського, буд. 16, Сватове, 53053",+380 09 835 67 31,iaroslavsymonenko@example.org
Удовиченко,Ігнат,Михайлович,Чоловіча,1999-07-29,Економіст,місто Бершадь,"сквер Охтирський, буд. 83, Сватове, 45734",+380 11 659-27-85,iashchukalla@example.com
Бандера,Трохим,Петрович,Чоловіча,1986-09-30,Музичний редактор,хутір Нова Одеса,"вулиця Колективний, буд. 6 кв. 7, Перещепине, 42942",+380 37 200-08-89,iustymriabets@example.org
Бабариченко,Сергій,Іванович,Чоловіча,1974-09-30,Патологоанатом,селище Арциз,"узвіз 13-та ст. Великого Фонтану пляж, буд. 9 кв. 7, Кролевець, 10259",+380 48 449-36-47,jdanylchuk@example.com
Яремчук,Макар,Богданович,Чоловіча,1990-05-18,Мистецтвознавець,селище Кобеляки,"узвіз Максима Чайки, буд. 39, Сторожинець, 83633",+380 42 869-31-50,mykhailo91@example.net
Тригуб,Валерій,Іванович,Чоловіча,1968-08-25,Перекладач,селище Костопіль,"провулок Павлова, буд. 11, Мерефа, 26260",+380 36 753-64-36,dziubakyrylo@example.com
Андріїшин,Григорій,Володимирович,Чоловіча,1982-08-28,Кухар,місто Сніжне,"вулиця Скляний 3-й, буд. 9 кв. 4, Вознесенівка, 87131",+380 16 081 76 09,solomiiaaverchenko@example.org
Шаповал,Едуард,Андрійович,Чоловіча,2005-10-20,Медик,хутір Монастирище,"узвіз Наявний 7-й, буд. 82 кв. 8, Кам'янець-Подільський, 33181",064 241 45 75,ushcherban@example.org
Пустовіт,Леон,Юрійович,Чоловіча,1960-12-25,Стоматолог,село Миколаївка,"вулиця Осипова, буд. 02 кв. 1, Слов'янськ, 23718",+380 (87) 407-03-70,kkovalenko@example.net
Засядько,Григорій,Андрійович,Чоловіча,1941-07-04,Живописець,селище Жовті Води,"проспект Заводська 2-га, буд. 8 кв. 621, Макіївка, 61202",+380 (15) 958-73-32,semen08@example.net
Андріїшин,Дмитро,Петрович,Чоловіча,1987-07-06,Ріелтор,село Вижниця,"шосе Нафтовиків, буд. 68 кв. 6, Дубровиця, 11737",025 332 04 34,shtepaada@example.net
Цибуленко,Костянтин,Михайлович,Чоловіча,1996-01-06,Євнух,село Новодністровськ,"парк Володимира Вінниченка, буд. 82, Львів, 96236",047 750-31-26,mykytachaban@example.net
Єщенко,Ярема,Андрійович,Чоловіча,1991-12-28,Різноробочий,місто Дунаївці,"провулок Краснослобідський, буд. 008 кв. 849, Новоукраїнка, 80674",+380 (28) 213-24-05,klymentmasokha@example.org
Гук,Гордій,Богданович,Чоловіча,1957-06-10,Реставратор,місто Чернігів,"площа Пересипська 2-га, буд. 851 кв. 989, Тернівка, 35257",061 01 66,ruslan19@example.org
Андрійович,Володимир,Юрійович,Чоловіча,1958-04-09,Провізор,село Апостолове,"площа Дніпропетровська дорога, буд. 7, Курахове, 90189",066 432-40-40,pvermenych@example.net
Вернидуб,Назар,Михайлович,Чоловіча,1999-06-11,Конструктор,хутір Добромиль,"проспект 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 45 кв. 2, Самбір, 80122",+380 (01) 392-50-59,chervonenkooksana@example.com
Нестеренко,Омелян,Олександрович,Чоловіча,1982-04-18,Фотограф,місто Підгородне,"проспект Тепла, буд. 064, Українськ, 29141",499 75 40,zhaidai@example.net
Власенко,Руслан,Андрійович,Чоловіча,1962-10-14,Композитор,місто Канів,"набережна Радісний, буд. 672, Полонне, 19235",+380 (42) 391-26-01,tychynales@example.net
Лубенець,Охрім,Олександрович,Чоловіча,1986-06-02,Хореограф,місто Мелітополь,"сквер Заможна, буд. 4, Сміла, 80748",078 993-00-65,qzharko@example.net
Їжак,Альберт,Олександрович,Чоловіча,1976-02-06,Композитор,хутір Знам'янка,"провулок Олександра Станкова, буд. 560, Хмельницький, 59530",+380 80 083-48-84,batihsolomiia@example.com
Чорновіл,Ярослав,Богданович,Чоловіча,2006-02-06,Психолог,село Кам'янець-Подільський,"узвіз Базарна, буд. 624, Бурштин, 16486",+380 (98) 676-56-32,xkadeniuk@example.org
Романенко,Леопольд,Дмитрович,Чоловіча,1959-10-25,Намотувальник,селище Винники,"площа Західний 1-й, буд. 9 кв. 173, Брянка, 68065",561 51 36,bashtanvladyslav@example.net
Зінчук,Августин,Дмитрович,Чоловіча,1968-12-28,Фармацевт,селище Хмільник,"провулок Бісквітний, буд. 477, Тисмениця, 50234",071 950 70 05,anitamalyshko@example.org
Матяш,Ігор,Михайлович,Чоловіча,1980-01-12,Фізик,хутір Роздільна,"проспект Офіцерський 2-й, буд. 66 кв. 642, Золочів, 85189",+380 00 508 85 67,mariia87@example.net
Чала,Леонтій,Михайлович,Чоловіча,1950-10-27,Ді-джей,місто Верхньодніпровськ,"вулиця Дорожня, буд. 821 кв. 9, Звенигородка, 18061",+380 03 665 22 50,zakharchenkostepan@example.com
Філіпенко,Руслан,Юрійович,Чоловіча,1972-01-04,Антрополог,місто Жданівка,"набережна Керченський 1-й, буд. 7, Моршин, 21766",+380 20 225-52-93,artemenkooles@example.com
Гоголь-Яновський,Омелян,Богданович,Чоловіча,1989-12-16,Музичний редактор,хутір Донецьк,"шосе Опішнянський, буд. 745 кв. 646, Авдіївка, 26211",+380 15 889-43-92,datsenkomyron@example.com
Удовенко,Юстим,Петрович,Чоловіча,1948-12-30,Електрик,хутір Красногорівка,"шосе Отонівський, буд. 6 кв. 0, Балта, 22850",+380 32 184-16-52,ivan04@example.com
Литвин,Венедикт,Володимирович,Чоловіча,1998-08-10,Біолог,хутір Луцьк,"узвіз 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 26, Тячів, 79888",204-96-70,davyd59@example.net
Ковалюк,Зорян,Іванович,Чоловіча,1956-02-26,Журналіст,місто Броди,"парк Тюльпанний, буд. 365, Корсунь-Шевченківський, 34747",+380 75 732-05-82,adamievtushenko@example.org
Бабʼюк,Миколай,Іванович,Чоловіча,1954-06-22,Астроном,село Шептицький,"провулок Лінія 24-та, буд. 45, Біляївка, 34517",+380 (04) 143-62-74,ibhydenko@example.org
Байда,Соломон,Іванович,Чоловіча,1957-09-02,Громадський діяч,селище Одеса,"набережна Рельєфна, буд. 367 кв. 28, Сміла, 47746",+380 (32) 494-05-88,sbatiuk@example.com
Рябець,Миколай,Іванович,Чоловіча,1996-09-10,Режисер,хутір Чорноморськ,"парк Десята, буд. 68, Часів Яр, 62803",+380 (74) 010-08-25,shaidenko@example.org
Чабан,Пилип,Дмитрович,Чоловіча,1961-05-22,Художник,місто Вишневе,"проспект Пересипська 5-та, буд. 437, Сокологірськ, 18967",892 83 70,odarka53@example.net
Гунько,Василь,Богданович,Чоловіча,1989-04-29,Модельєр,село Обухів,"шосе Ремонтна, буд. 685 кв. 292, Біла Церква, 55904",+380 45 632-79-97,pavlo28@example.org
Мірошниченко,Ігнат,Дмитрович,Чоловіча,1972-04-02,Провізор,місто Саки,"шосе Климовича, буд. 1 кв. 96, Запоріжжя, 34562",019 222 02 87,drobakhaleopold@example.com
Кабаненко,Адам,Михайлович,Чоловіча,1988-09-19,Графік,село Богуслав,"узвіз Купріна, буд. 3, Винники, 84505",+380 90 371-25-12,arkadii47@example.org
Онищенко,Демид,Володимирович,Чоловіча,1965-12-22,Географ,селище Сіверськ,"площа Ізюмська, буд. 84, Середина-Буда, 69004",+380 14 234-01-49,makarprykhodko@example.net
Нестеренко,Костянтин,Іванович,Чоловіча,1993-12-17,Реабілітолог,хутір Вільнянськ,"шосе Тупиковий, буд. 761 кв. 74, Пологи, 69173",569-61-72,yhaidenko@example.net
Туркало,Лукʼян,Михайлович,Чоловіча,1981-05-29,Композитор,селище Деражня,"парк Урожайна, буд. 38, Новогродівка, 04584",043 054 75 85,stepan57@example.com
Чаленко,Богодар,Сергійович,Чоловіча,1994-04-28,Історик,місто Татарбунари,"сквер Долинська, буд. 751 кв. 945, Соледар, 73633",+380 08 530-24-63,marusiachmil@example.org
Козак,Вʼячеслав,Богданович,Чоловіча,1995-01-29,Льотчик,селище Хрустальний,"парк Цукровий, буд. 53, Батурин, 78597",191 81 46,iurchyshynaeduard@example.com
Баранник,Костянтин,Михайлович,Чоловіча,2004-03-14,Електромонтажник,село Турка,"проспект Климовича, буд. 88, Глухів, 02160",082 444 40 44,adashkevych@example.org
Худяк,Олександр,Іванович,Чоловіча,1947-07-02,Прокурор,хутір Підгайці,"проспект Шевченка, буд. 5 кв. 86, Іловайськ, 49511",+380 (06) 930-59-06,havrylosatsiuk@example.net
Смик,Остап,Андрійович,Чоловіча,1954-04-18,Бухгалтер,хутір Лиман,"провулок Десята, буд. 341, Люботин, 89595",+380 14 870-14-36,onyshchenkookseniia@example.com
Христенко,Мирон,Андрійович,Чоловіча,1994-01-07,Мовознавець,хутір Гайворон,"сквер Князівська, буд. 7, Щастя, 67174",+380 58 019-08-48,iukhympustovit@example.org
Голик,Кирило,Андрійович,Чоловіча,1946-09-30,Детектив,селище Слов'янськ,"сквер Пантелеймонівська, буд. 31, Радомишль, 37721",+380 28 272 96 90,piakymchuk@example.org
Усик,Панас,Юрійович,Чоловіча,1995-10-20,Гірник,хутір Кам'янка-Бузька,"узвіз Андрія Гулого-Гуленка, буд. 4, Житомир, 76503",+380 69 077-13-32,lukiandotsenko@example.net
Яременко,Геннадій,Дмитрович,Чоловіча,1983-12-22,Електромонтер,місто Мелітополь,"парк Зернова, буд. 1 кв. 15, Хирів, 37748",+380 (48) 356-53-39,shavriushenko@example.com
Гавриш,Ігнат,Михайлович,Чоловіча,1961-09-05,Зоолог,село Кагарлик,"площа 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 768 кв. 47, Болехів, 91013",215 76 07,qsuprunenko@example.org
Шамрай,Тарас,Андрійович,Чоловіча,1976-03-26,Дантист,селище Мерефа,"вулиця Юрія Кондратюка, буд. 4 кв. 18, Герца, 29694",+380 47 735-11-40,nestoriakovenko@example.com
Дубас,Дан,Володимирович,Чоловіча,1974-01-22,Співак,місто Вашківці,"шосе Нечипуренка, буд. 421, Армянськ, 38607",009 521 07 35,shapovalhennadii@example.net
Ватаманюк,Юхим,Сергійович,Чоловіча,1996-01-14,Художник,хутір Калинівка,"сквер Китобійний 1-й, буд. 9 кв. 743, Нововолинськ, 61905",002 433 58 67,hryhoriikalchenko@example.org
Василевич,Онисим,Юрійович,Чоловіча,1966-10-01,Фотограф,хутір Федорівка,"вулиця Толвінського, буд. 85, Шумськ, 81529",+380 (98) 298-80-08,dtiahnybok@example.com
Шеремет,Єлисей,Володимирович,Чоловіча,1996-09-24,Науковець,селище Костопіль,"сквер Виноградна 1-ша, буд. 50, Сокаль, 61020",828-23-84,eskoryk@example.net
Василечко,Євген,Дмитрович,Чоловіча,2004-06-15,Водій,село Волноваха,"вулиця Богуна, буд. 1 кв. 558, Калуш, 44483",+380 21 421 55 83,larysa58@example.org
Тригуб,Леон,Дмитрович,Чоловіча,1998-06-13,Дерун,селище Кривий Ріг,"сквер Заводська 3-тя, буд. 318 кв. 4, Селидове, 11078",191 75 49,onysym52@example.net
Андрійчук,Соломон,Михайлович,Чоловіча,1996-12-14,Зоолог,місто Городенка,"провулок Водопровідний 3-й, буд. 303, Почаїв, 78653",914 21 36,martyndrobakha@example.org
Баклан,Семен,Юрійович,Чоловіча,1952-09-28,Кур'єр,село Ірміно,"набережна Станційна 2-га, буд. 81, Ізмаїл, 57493",+380 (42) 092-41-94,serhii09@example.com
Калениченко,Леонід,Володимирович,Чоловіча,1989-10-06,Державний службовець,місто Судова Вишня,"проспект Ольгіївський узвіз, буд. 99 кв. 04, Докучаєвськ, 52066",+380 68 755-76-20,vitalii91@example.net
Бабенко,Хома,Дмитрович,Чоловіча,1949-10-27,М'ясник,селище Ічня,"узвіз Сергія Єфремова, буд. 10 кв. 35, Батурин, 24902",+380 36 064 31 04,cherednykvioletta@example.net
Носаченко,Богуслав,Андрійович,Чоловіча,1958-02-05,Мовознавець,хутір Перемишляни,"площа Берегова, буд. 754 кв. 691, Олександрівськ, 26009",+380 70 958 08 15,xivanenko@example.org
Вітрук,Макар,Володимирович,Чоловіча,1984-06-21,Паблік рилейшнз,селище Снігурівка,"проспект Траса Здоров'я, буд. 4, Бердянськ, 56203",+380 02 414-76-07,marusiachaika@example.com
Худяк,Тимофій,Петрович,Чоловіча,1960-04-11,Пекар,село Сквира,"проспект Круговий, буд. 627 кв. 4, Бучач, 40347",068 053 66 58,kopytkovolodymyra@example.net
Іщенко,Аркадій,Дмитрович,Чоловіча,1988-02-24,Головний меркшейдер,селище Золочів,"набережна Штабний, буд. 3, Петрово-Красносілля, 20013",+380 29 667-70-01,kamillapetrenko@example.net
Алексійчук,Орхип,Олександрович,Чоловіча,1969-05-09,Актор,селище Соледар,"проспект Князя Володимира Великого , буд. 4, Знам'янка, 36085",+380 (91) 971-13-52,wliashko@example.org
Верменич,Дмитро,Михайлович,Чоловіча,1953-09-29,Кушнір,селище Городня,"сквер Житомирський 3-й, буд. 622, Сновськ, 92680",+380 78 159 35 29,qsatsiuk@example.net
Деркач,Мирослав,Сергійович,Чоловіча,1994-01-02,Складальник,місто Новомиргород,"вулиця Житомирський 3-й, буд. 06 кв. 253, Тлумач, 44623",049 370 81 41,bevzenkovasyl@example.org
Василашко,Зорян,Сергійович,Чоловіча,1939-06-20,Режисер,хутір Жовті Води,"провулок Польова, буд. 8, Зугрес, 13373",+380 (44) 699-20-21,qchalenko@example.org
Парасюк,Олесь,Михайлович,Чоловіча,1987-10-12,Антрополог,селище Калинівка,"набережна Фонтанська дорога, буд. 09, Кам'янка (Черкаська область), 66427",099 629-63-85,martyn61@example.com
Абрагамовський,Лукʼян,Дмитрович,Чоловіча,1944-11-21,Науковець,селище Костопіль,"набережна Лінія 29-та, буд. 881, Долина, 83917",932-61-55,hohol-ianovskyihlib@example.com
Рябець,Пантелеймон,Петрович,Чоловіча,1955-04-09,Маркетолог,хутір Свалява,"узвіз Змієнка Всеволода, буд. 3 кв. 1, Селидове, 92725",094 674-52-44,petro88@example.com
Конопля,Аркадій,Дмитрович,Чоловіча,1975-05-30,Електромонтажник,хутір Узин,"узвіз Східний 1-й, буд. 2 кв. 76, Сватове, 67756",028 123 03 28,havrylyshynspas@example.org
Макаренко,Гаврило,Богданович,Чоловіча,1946-08-23,Паралегал,місто Болехів,"провулок Десятого квітня, буд. 15, Берегове, 65943",+380 (13) 306-42-24,tskyba@example.org
Даньків,Ярослав,Петрович,Чоловіча,1994-11-05,Мистецтвознавець,хутір Олешки,"шосе Східчастий 4-й, буд. 993 кв. 292, Євпаторія, 64473",029 874 41 51,ievtushokmarko@example.com
Їжак,Володимир,Петрович,Чоловіча,1955-08-02,Швачка,селище Саки,"узвіз Шахтинський, буд. 460 кв. 6, Білозерське, 62184",143 04 02,hennadiihrechanyk@example.com
Барабаш,Панас,Іванович,Чоловіча,1999-02-25,Педагог,хутір Горохів,"парк Юннатів, буд. 7 кв. 3, П'ятихатки, 24729",918-46-92,barabasholes@example.com
Худобʼяк,Давид,Олександрович,Чоловіча,1972-05-03,Бізнесмен,селище Авдіївка,"провулок Деревообробна, буд. 99 кв. 8, Корець, 94037",023 648-27-61,xabramenko@example.net
Демʼянчук,Костянтин,Сергійович,Чоловіча,1960-04-26,Геолог,селище Христинівка,"шосе Сливовий, буд. 58 кв. 97, Українськ, 33814",+380 00 517-37-08,matviienkospas@example.net
Яременко,Святослав,Володимирович,Чоловіча,1950-12-07,Няня,селище Івано-Франківськ,"проспект Радіо, буд. 6, Мар'їнка, 70533",160-61-17,riurchenko@example.net
Василенко,Хома,Юрійович,Чоловіча,1961-07-27,Головний меркшейдер,селище Золотоноша,"проспект Офіцерська, буд. 9, Біла Церква, 13751",+380 11 222 69 54,iukhymenkomarusia@example.net
Ватаманюк,Гаврило,Дмитрович,Чоловіча,1944-11-26,Петрограф,хутір Косів,"площа Куликове поле, буд. 677, Харків, 58808",057 077-19-82,hdzhun@example.com
Полтавець,Яків,Богданович,Чоловіча,1975-05-17,Астронавт,місто Пустомити,"набережна Ізюмська, буд. 0 кв. 20, Жовква, 49223",098 410 93 99,batamanchuk@example.net
Перепелиця,Тарас,Богданович,Чоловіча,1958-07-27,Електрослюсар,селище Винники,"сквер Косий, буд. 647 кв. 612, Монастириська, 79758",+380 (33) 519-40-30,sviatoslava72@example.org
Петлюра,Прохір,Сергійович,Чоловіча,1946-03-29,Стоматолог,селище Ірміно,"набережна Персикова, буд. 930, Чуднів, 33390",048 957 64 97,atamanchukborys@example.org
Рябченко,Опанас,Олександрович,Чоловіча,1947-05-09,Детектив,селище Семенівка,"шосе Ванний, буд. 119 кв. 99, Хрустальний, 96970",+380 21 590-64-20,snizhanaartiukh@example.org
Ватаманюк,Пилип,Петрович,Чоловіча,1953-12-19,Промисловець,місто Отаманівка,"площа Академіка Богатського, буд. 529 кв. 7, Рівне, 46592",943 14 14,edytamiroshnychenko@example.net
Євдокименко,Тимофій,Володимирович,Чоловіча,2004-02-24,Палеонтолог,хутір Миколаївка,"узвіз Посівна, буд. 46 кв. 3, Суходільськ, 21820",071 296 16 10,albertzhuk@example.com
Тягнибок,Іван,Олександрович,Чоловіча,1942-05-05,Зоолог,селище Узин,"площа Десятого квітня, буд. 34, Біла Церква, 11125",491-46-41,miatseniuk@example.com
Прокопович,Леонтій,Іванович,Чоловіча,1999-07-27,Живописець,хутір Овруч,"узвіз Рівності 1-й, буд. 3 кв. 795, Сарни, 45905",+380 20 914-33-55,odarka05@example.org
Жарко,Левко,Богданович,Чоловіча,2002-11-24,Електрик,село Бердянськ,"провулок Бузковий 2-й, буд. 973 кв. 084, Суходільськ, 16548",+380 (68) 162-67-12,nazarkorolenko@example.net
Балабан,Єлисей,Олександрович,Чоловіча,1949-06-16,Реставратор,місто Рожище,"сквер Чигиринська, буд. 7, Немирів, 47527",+380 29 340-47-11,gavramenko@example.org
